SID,Department,Hall_Status,Male_Female,Attendance,ClassText,Cgpa,Total_Credit_Completed,Status
5995,4,0,1,0.907407407,0.584444444,2.83011745,149,
5996,2,1,1,0.980172414,0.77112069,3.338671875,160,
5997,4,1,1,0.975590551,0.708661417,3.210262346,162,
5998,5,1,1,0.9785,0.876293103,3.64375,160,
6000,5,0,1,0.998333333,0.792083333,3.4578125,160,
6004,7,1,0,0.962608696,0.804347826,3.564465409,159,
6015,4,1,1,0.905970149,0.703731343,3.208064516,155,
6031,5,1,1,0.990598291,0.78034188,3.437888199,161,
6033,10,0,0,0.898795181,0.731927711,2.470394737,190,
6034,1,0,1,0.971794872,0.77457265,3.605221519,158,
6035,2,1,1,0.919672131,0.57295082,2.951298701,154,
6036,2,0,1,0.94137931,0.744181034,3.10078125,160,
6037,2,0,1,0.868421053,0.57387218,2.874166667,150,
6038,2,0,1,0.995689655,0.906034483,3.87109375,160,
6039,2,1,1,0.9846,0.801116071,3.409375,160,
6040,2,0,0,1,0.951293103,3.897265625,160,
6041,2,1,1,0.840677966,0.638135593,3.037173203,153,
6042,2,0,1,0.993103448,0.759482759,3.49140625,160,
6043,2,1,1,0.98362069,0.78362069,3.566015625,160,
6044,2,0,1,0.997413793,0.767025862,3.387109375,160,
6045,2,1,1,0.967226891,0.782563025,3.34453125,160,
6048,2,0,0,1,0.806681034,3.71796875,160,
6049,10,1,0,0.6,0.598924731,2.653846154,169,
6051,10,0,1,0.189781022,0.248357664,2.016556291,151,
6052,10,0,0,0.936144578,0.757831325,2.515131579,190,
6053,10,1,1,0.552525253,0.526010101,2.504545455,165,
6055,10,0,1,0.302290076,0.247900763,1.837962963,135,
6056,7,0,1,0.896581197,0.520940171,2.508012821,156,
6057,7,1,0,0.986086957,0.813913043,3.545597484,159,
6058,7,1,0,0.971304348,0.74173913,3.403301887,159,
6095,7,1,1,0.916101695,0.660169492,2.968553459,159,
6096,10,0,0,0.768235294,0.564705882,2.3875,190,
6097,10,1,0,0.746987952,0.580120482,2.2375,190,
6098,10,1,1,0.563855422,0.445783133,2.361842105,190,
6099,10,1,1,0.282681564,0.346368715,2.125702247,178,
6107,10,0,0,0.835632184,0.596551724,2.140131579,190,
6180,10,0,0,0.738554217,0.672289157,2.411842105,190,
6182,4,0,1,0.937007874,0.711417323,2.952932099,162,
6185,8,1,1,0.769911504,0.769026549,3.232531056,161,
6186,8,0,1,0.986842105,0.829385965,3.564440994,161,
6187,9,0,1,0.862135922,0.700339806,3.435126582,158,
6188,10,0,0,0.613186813,0.491758242,2.384730539,167,
6189,1,1,1,0.997435897,0.852564103,3.650316456,158,
6190,1,1,1,1,0.851068376,3.655063291,158,
6191,1,0,1,0.915384615,0.826367521,3.655063291,158,
6192,1,1,1,0.953846154,0.871153846,3.821202532,158,
6193,7,1,1,0.731531532,0.653153153,2.827044025,159,
6194,5,1,1,0.760833333,0.72875,3.25078125,160,
6195,5,0,1,0.948360656,0.686885246,2.775943396,159,
6197,2,0,0,1,0.775862069,3.328515625,160,
6199,2,0,1,0.711111111,0.628888889,2.977739726,146,
6202,6,0,1,0.968,0.594,2.756622517,151,
6205,7,0,1,0.96173913,0.754782609,3.261792453,159,
6207,1,0,1,0.994871795,0.889316239,3.866297468,158,
6209,4,1,1,0.826923077,0.683846154,2.64740566,159,
6210,7,1,1,0.992173913,0.755652174,3.281446541,159,
6211,5,1,1,0.984,0.876495726,3.693322981,161,
6212,5,1,0,0.987603306,0.805371901,3.513198758,161,
6213,5,0,0,0.901652893,0.837190083,3.538043478,161,
6214,5,1,1,0.996694215,0.873553719,4.020186335,161,
6215,5,1,1,0.983471074,0.81322314,3.560559006,161,
6217,5,1,1,0.975,0.706410256,2.929347826,161,
6218,5,1,0,0.980165289,0.752066116,3.26552795,161,
6219,5,0,1,0.771774194,0.691129032,2.992879747,158,
6220,5,1,0,0.962809917,0.826033058,3.475931677,161,
6221,5,0,1,0.981818182,0.826446281,3.610248447,161,
6222,5,0,1,0.939669421,0.709504132,3.076863354,161,
6223,2,1,1,0.962931034,0.834482759,3.731640625,160,
6224,2,1,1,0.984,0.850223214,3.534375,160,
6225,2,0,1,0.874137931,0.798275862,3.38984375,160,
6226,2,1,1,0.961206897,0.778017241,3.51796875,160,
6227,1,1,1,0.992307692,0.909615385,3.9375,158,
6228,1,0,1,0.965,0.772916667,3.652689873,158,
6229,1,0,1,1,0.862393162,3.880537975,158,
6231,1,1,1,0.907692308,0.867948718,3.723892405,158,
6232,1,1,1,0.987179487,0.829700855,3.643196203,158,
6233,1,1,1,0.992307692,0.853846154,3.835443038,158,
6247,1,1,1,0.982051282,0.788034188,3.571993671,158,
6248,1,0,1,1,0.930042735,3.942246835,158,
6249,1,0,1,0.974358974,0.807264957,3.628955696,158,
6250,7,1,1,0.904237288,0.663771186,2.778846154,156,
6251,2,0,1,0.96637931,0.80862069,3.55625,160,
6252,2,1,1,0.869827586,0.75,3.2125,160,
6253,2,0,1,0.99137931,0.850862069,3.730859375,160,
6255,2,0,1,0.940517241,0.747844828,3.448046875,160,
6256,2,1,1,0.890178571,0.821428571,3.499609375,160,
6257,9,0,1,0.934951456,0.78131068,3.462025316,158,
6258,9,1,1,0.742718447,0.579854369,2.893196203,158,
6259,10,1,0,0.759493671,0.624050633,2.769039735,151,
6260,10,1,1,0.347252747,0.468681319,2.630244755,143,
6261,10,1,1,0.43373494,0.537349398,2.785483871,155,
6262,10,0,1,0.361797753,0.418539326,2.53147482,139,
6273,10,1,1,0.496470588,0.415882353,2.618197279,147,
6274,1,1,1,0.905128205,0.675641026,3.073575949,158,
6275,2,1,1,0.8696,0.7248,3.408564815,162,
6276,7,1,1,0.91826087,0.716086957,3.028301887,159,
6277,5,0,1,0.912903226,0.637096774,2.91953125,160,
6283,11,0,0,0.971428571,0.849789916,3.664596273,161,
6295,4,0,1,0.688461538,0.824551282,2.167052469,162,
6298,3,1,1,0.927118644,0.759745763,3.623842593,162,
6303,5,0,0,0.965,0.773706897,3.43046875,160,
6304,4,0,1,0.977165354,0.766535433,3.195216049,162,
6307,5,1,1,0.87,0.833333333,3.6578125,160,
6308,5,1,0,0.952066116,0.745454545,3.242236025,161,
6314,11,1,1,0.996666667,0.793333333,3.534722222,162,
6315,2,1,1,0.885344828,0.786637931,3.40625,160,
6316,1,0,1,0.956410256,0.668376068,3.280063291,158,
6319,2,0,1,0.975862069,0.799568966,3.483203125,160,
6320,6,0,1,0.791724138,0.568793103,2.831795302,149,
6321,5,0,1,0.996721311,0.703278689,3.05859375,160,
6323,11,1,1,0.955,0.823478261,3.283385093,161,
6324,5,0,1,0.9025,0.69125,3.0671875,160,
6328,8,0,1,0.944628099,0.715289256,3.336038961,154,
6335,2,1,1,0.634645669,0.6,2.976362179,156,
6336,1,1,1,1,0.818803419,3.605221519,158,
6337,1,1,1,0.963414634,0.706504065,3.111550633,158,
6339,1,0,1,0.9725,0.852916667,3.723892405,158,
6340,1,1,1,0.951282051,0.809401709,3.605221519,158,
6341,1,1,1,1,0.755555556,3.194620253,158,
6342,5,0,0,0.9655,0.888461538,3.714285714,161,
6343,5,1,1,0.994915254,0.718220339,2.73828125,160,
6344,5,0,1,0.726356589,0.629457364,2.772798742,159,
6345,5,0,0,0.98677686,0.750413223,3.13431677,161,
6346,5,0,1,0.781451613,0.600403226,2.7265625,160,
6348,5,1,1,0.966,0.852136752,3.434006211,161,
6349,2,0,1,0.9752,0.844,3.628472222,162,
6350,2,1,1,0.9936,0.9476,3.952160494,162,
6351,2,0,1,0.984,0.7944,3.570987654,162,
6352,2,0,1,0.9856,0.8464,3.770061728,162,
6353,2,1,1,0.691111111,0.578148148,3.297619048,147,
6354,2,1,1,0.84,0.8332,3.557484568,162,
6355,2,1,1,0.9824,0.7608,3.152391975,162,
6356,2,1,1,0.984,0.7888,3.25617284,162,
6357,2,1,1,0.9912,0.7914,3.460262346,162,
6358,2,1,1,0.955371901,0.677272727,2.819444444,162,
6359,2,1,0,0.9912,0.87,3.813271605,162,
6360,2,0,1,0.886792453,0.662264151,3.179530201,149,
6362,2,1,1,0.9904,0.8994,3.844521605,162,
6363,1,1,1,0.790909091,0.469128788,2.845727848,158,
6364,10,0,0,0.44137931,0.490229885,2.620567376,141,
6366,10,1,0,0.718987342,0.656329114,3.006622517,151,
6367,10,0,0,0.797468354,0.710759494,2.777317881,151,
6368,10,0,0,0.474074074,0.575308642,2.710264901,151,
6370,10,1,1,0.726582278,0.528481013,2.685430464,151,
6371,1,1,1,0.997435897,0.808119658,3.550632911,158,
6373,1,0,1,0.650704225,0.495070423,2.765031646,158,
6374,1,0,1,0.98974359,0.807051282,3.517405063,158,
6375,1,1,1,0.789230769,0.605384615,3.280594406,143,
6376,1,1,1,0.98974359,0.824786325,3.704905063,158,
6377,1,0,1,0.987179487,0.83525641,3.757120253,158,
6378,1,0,1,0.951282051,0.728632479,3.5625,158,
6379,1,1,1,0.895275591,0.752283465,3.570205479,146,
6380,1,1,1,0.751282051,0.645726496,3.465189873,158,
6381,1,0,0,0.969230769,0.711965812,3.32278481,158,
6382,1,0,1,0.987179487,0.817094017,3.69778481,158,
6383,1,1,1,0.935294118,0.796218487,3.367879747,158,
6389,3,1,1,0.912295082,0.671311475,3.305555556,162,
6397,5,1,0,1,0.828099174,3.61257764,161,
6400,10,0,1,0.534951456,0.498058252,1.938179348,184,
6404,5,1,1,0.971666667,0.724583333,2.9703125,160,
6405,1,1,1,0.984615385,0.839957265,3.624208861,158,
6424,5,1,0,0.991666667,0.853333333,3.60703125,160,
6425,7,0,0,0.965,0.871171171,3.509433962,159,
6426,5,1,1,0.78034188,0.731196581,2.795807453,161,
6429,5,1,1,0.904132231,0.715289256,3.14363354,161,
6430,2,0,1,0.9976,0.7772,3.43132716,162,
6431,4,1,1,0.978740157,0.864173228,3.774305556,162,
6436,1,1,1,0.987179487,0.751282051,3.410601266,158,
6443,1,1,1,0.994871795,0.808119658,3.45806962,158,
6447,5,0,1,0.984297521,0.702066116,3.068322981,161,
6448,5,1,1,1,0.784166667,3.40078125,160,
6449,2,1,1,0.995041322,0.795661157,3.429783951,162,
6456,11,1,1,0.731932773,0.744117647,3.131987578,161,
6458,6,1,1,0.99,0.880982906,3.644140625,160,
6459,2,1,1,0.99,0.888839286,3.69375,160,
6460,2,0,0,0.8265625,0.678515625,2.826584507,142,
6461,1,0,1,0.994871795,0.835897436,3.776107595,158,
6462,1,1,1,1,0.858333333,3.78085443,158,
6463,1,0,0,0.966666667,0.76517094,3.721518987,158,
6464,1,1,1,0.892307692,0.727350427,3.358386076,158,
